f: 14, s: 15, c: v, p: vdvvvvvsvvvvvfpv, a: f == v, b: p == v, valid: false
f: 3, s: 11, c: k, p: kkqkkfkkvkgfknkx, a: q == k, b: g == k, valid: false
f: 6, s: 10, c: j, p: jjjjjjjjjj, a: j == j, b: j == j, valid: false
f: 5, s: 10, c: s, p: nskdmzwrmpmhsrzts, a: m == s, b: p == s, valid: false
f: 13, s: 15, c: v, p: vvvvvvkvvvvjzvv, a: z == v, b: v == v, valid: true
f: 11, s: 13, c: h, p: hhhhhbhhhhdhhh, a: d == h, b: h == h, valid: true
f: 14, s: 15, c: r, p: rrrrrrrrzrrrrrtl, a: r == r, b: t == r, valid: true
f: 2, s: 9, c: c, p: llhctjgbz, a: l == c, b: z == c, valid: false
f: 13, s: 15, c: s, p: ssssxssssssssjs, a: s == s, b: s == s, valid: false
f: 6, s: 8, c: c, p: lccccqcc, a: q == c, b: c == c, valid: true
f: 8, s: 9, c: n, p: nnnnnmnch, a: c == n, b: h == n, valid: false
f: 4, s: 5, c: n, p: jnnnmmpxngbrknzb, a: n == n, b: m == n, valid: true
f: 4, s: 7, c: n, p: knlnqnnndnn, a: n == n, b: n == n, valid: false
f: 13, s: 18, c: g, p: ggggggggnggggggggggp, a: g == g, b: g == g, valid: false
f: 5, s: 6, c: m, p: mmmmgm, a: g == m, b: m == m, valid: true
f: 5, s: 10, c: l, p: lvlllglllpll, a: l == l, b: p == l, valid: true
f: 7, s: 12, c: z, p: pszgzqzzzzkw, a: z == z, b: w == z, valid: true
f: 1, s: 2, c: j, p: pjjqw, a: p == j, b: j == j, valid: true
f: 15, s: 16, c: n, p: nnnnnnnnnnnnnnpn, a: p == n, b: n == n, valid: true
f: 8, s: 14, c: z, p: mzzzjzzzzhzzzztznzz, a: z == z, b: z == z, valid: false
f: 5, s: 19, c: q, p: rnsdfgkqlqjdvrmtsqqh, a: f == q, b: q == q, valid: true
f: 1, s: 5, c: f, p: ffffff, a: f == f, b: f == f, valid: false
f: 4, s: 5, c: h, p: hhhhh, a: h == h, b: h == h, valid: false
f: 1, s: 7, c: g, p: cglgjgflgggxv, a: c == g, b: f == g, valid: false
f: 2, s: 3, c: g, p: gggpg, a: g == g, b: g == g, valid: false
f: 2, s: 8, c: m, p: gbsmqmmmsmh, a: b == m, b: m == m, valid: true
f: 1, s: 2, c: j, p: jjhkmqr, a: j == j, b: j == j, valid: false
f: 10, s: 12, c: s, p: sssstsstpsssssp, a: s == s, b: s == s, valid: false
f: 9, s: 15, c: k, p: tkbkkknkcnkgwkfkkkpk, a: c == k, b: f == k, valid: false
f: 6, s: 7, c: m, p: mmmmmmmm, a: m == m, b: m == m, valid: false
f: 6, s: 7, c: s, p: lsspssss, a: s == s, b: s == s, valid: false
f: 9, s: 13, c: k, p: kkgjrvkkkkkkmkkkkzd, a: k == k, b: m == k, valid: true
f: 3, s: 5, c: m, p: lbmmmzpwm, a: m == m, b: m == m, valid: false
f: 2, s: 12, c: x, p: xxgwxxtbttcxzmlfwx, a: x == x, b: x == x, valid: false
f: 10, s: 13, c: k, p: kkkkvkkkkkgkwkzkkkk, a: k == k, b: w == k, valid: true
f: 10, s: 12, c: t, p: ttdftttttrtqt, a: r == t, b: q == t, valid: false
f: 4, s: 8, c: z, p: zbzzzzzz, a: z == z, b: z == z, valid: false
f: 8, s: 11, c: g, p: gctgdgwtspgg, a: t == g, b: g == g, valid: true
f: 2, s: 5, c: l, p: lllvl, a: l == l, b: l == l, valid: false
f: 4, s: 5, c: f, p: fwdspfmtts, a: s == f, b: p == f, valid: false
f: 5, s: 8, c: z, p: zzhzmzzdzzz, a: m == z, b: d == z, valid: false
f: 11, s: 12, c: x, p: xxxxwxxxxxxx, a: x == x, b: x == x, valid: false
f: 17, s: 18, c: h, p: hhhhhhhhhhhhhhhhqm, a: q == h, b: m == h, valid: false
f: 9, s: 14, c: j, p: jtkjwxjgjjjjjzjq, a: j == j, b: z == j, valid: true
f: 5, s: 6, c: p, p: ddgdbkpdsd, a: b == p, b: k == p, valid: false
f: 2, s: 5, c: c, p: xczcczc, a: c == c, b: c == c, valid: false
f: 6, s: 15, c: t, p: ttgjktpwqthftfrt, a: t == t, b: r == t, valid: true
f: 13, s: 16, c: t, p: tttttttttttttttq, a: t == t, b: q == t, valid: true
f: 9, s: 11, c: t, p: tgttttttftttc, a: f == t, b: t == t, valid: true
f: 4, s: 9, c: z, p: zzmzzzzzzzzzc, a: z == z, b: z == z, valid: false
f: 5, s: 8, c: d, p: sddtvddb, a: v == d, b: b == d, valid: false
f: 5, s: 6, c: l, p: llllpd, a: p == l, b: d == l, valid: false
f: 15, s: 16, c: s, p: sssssssssssssssb, a: s == s, b: b == s, valid: true
f: 14, s: 16, c: p, p: ppppppppppppppph, a: p == p, b: h == p, valid: true
f: 2, s: 10, c: r, p: mjnczrrnlnv, a: j == r, b: n == r, valid: false
f: 9, s: 10, c: s, p: ssspsssssrd, a: s == s, b: r == s, valid: true
f: 3, s: 5, c: d, p: dddddq, a: d == d, b: d == d, valid: false
f: 2, s: 3, c: v, p: llfv, a: l == v, b: f == v, valid: false
f: 7, s: 12, c: n, p: dnnnlnbnnnncn, a: b == n, b: c == n, valid: false
f: 5, s: 6, c: g, p: gsgggg, a: g == g, b: g == g, valid: false
f: 5, s: 9, c: t, p: tltbtttttt, a: t == t, b: t == t, valid: false
f: 1, s: 20, c: r, p: rtqtcmmgzfqmxtxqhdrn, a: r == r, b: n == r, valid: true
f: 2, s: 6, c: l, p: hlkkll, a: l == l, b: l == l, valid: false
f: 4, s: 6, c: c, p: cwccccc, a: c == c, b: c == c, valid: false
f: 3, s: 4, c: c, p: gcrdcz, a: r == c, b: d == c, valid: false
f: 1, s: 8, c: v, p: vvlvdgpvg, a: v == v, b: v == v, valid: false
f: 6, s: 17, c: g, p: gjccgdglgzgtcggdx, a: d == g, b: x == g, valid: false
f: 1, s: 17, c: l, p: nlczbmbrwcvgtjmcvcq, a: n == l, b: v == l, valid: false
f: 5, s: 11, c: z, p: nzppckcknfwllzzzrpp, a: c == z, b: w == z, valid: false
